,date,book_to_price_ratio_predict,leverage_predict,earnings_yield_predict,beta_predict,growth_predict,residual_volatility_predict,non_linear_size_predict,liquidity_predict,momentum_predict,size_predict
68,2020-06-01,0.870713,0.870713,0.870713,0.870713,0.870713,0.870713,0.870713,0.870713,0.870713,0.870713
69,2020-07-01,0.998513,0.998513,0.998513,0.998513,0.998513,0.998513,0.998513,0.998513,0.998513,0.998513
70,2020-08-03,0.9763418,0.9763418,0.9763418,0.9763418,0.9763418,0.9763418,0.9763418,0.9763418,0.9763418,0.9763418
71,2020-09-01,1.0661457,1.0661457,1.0661457,1.0661457,1.0661457,1.0661457,1.0661457,1.0661457,1.0661457,1.0661457
72,2020-10-09,0.880735,0.880735,0.880735,0.880735,0.880735,0.880735,0.880735,0.880735,0.880735,0.880735
73,2020-11-02,1.0375642,1.0375642,1.0375642,1.0375642,1.0375642,1.0375642,1.0375642,1.0375642,1.0375642,1.0375642
74,2020-12-01,0.9746976,0.9746976,0.9746976,0.9746976,0.9746976,0.9746976,0.9746976,0.9746976,0.9746976,0.9746976
75,2018-12-03,0.9733078,0.9733078,0.9733078,0.9733078,0.9733078,0.9733078,0.9733078,0.9733078,0.9733078,0.9733078
76,2019-01-02,0.9351861,0.9351861,0.9351861,0.9351861,0.9351861,0.9351861,0.9351861,0.9351861,0.9351861,0.9351861
77,2019-02-01,0.94790673,0.94790673,0.94790673,0.94790673,0.94790673,0.94790673,0.94790673,0.94790673,0.94790673,0.94790673
78,2019-03-01,0.97171825,0.97171825,0.97171825,0.97171825,0.97171825,0.97171825,0.97171825,0.97171825,0.97171825,0.97171825
79,2019-04-01,0.99217755,0.99217755,0.99217755,0.99217755,0.99217755,0.99217755,0.99217755,0.99217755,0.99217755,0.99217755
80,2019-05-06,1.0335165,1.0335165,1.0335165,1.0335165,1.0335165,1.0335165,1.0335165,1.0335165,1.0335165,1.0335165
81,2019-06-03,0.97588855,0.97588855,0.97588855,0.97588855,0.97588855,0.97588855,0.97588855,0.97588855,0.97588855,0.97588855
82,2019-07-01,1.0156536,1.0156536,1.0156536,1.0156536,1.0156536,1.0156536,1.0156536,1.0156536,1.0156536,1.0156536
83,2019-08-01,1.0851486,1.0851486,1.0851486,1.0851486,1.0851486,1.0851486,1.0851486,1.0851486,1.0851486,1.0851486
84,2019-09-02,0.9620718,0.9620718,0.9620718,0.9620718,0.9620718,0.9620718,0.9620718,0.9620718,0.9620718,0.9620718
85,2019-10-08,0.873238,0.873238,0.873238,0.873238,0.873238,0.873238,0.873238,0.873238,0.873238,0.873238
86,2019-11-01,0.96986264,0.96986264,0.96986264,0.96986264,0.96986264,0.96986264,0.96986264,0.96986264,0.96986264,0.96986264
87,2019-12-02,0.8570268,0.8570268,0.8570268,0.8570268,0.8570268,0.8570268,0.8570268,0.8570268,0.8570268,0.8570268
88,2020-01-02,0.99811226,0.99811226,0.99811226,0.99811226,0.99811226,0.99811226,0.99811226,0.99811226,0.99811226,0.99811226
89,2020-02-03,1.0058771,1.0058771,1.0058771,1.0058771,1.0058771,1.0058771,1.0058771,1.0058771,1.0058771,1.0058771
90,2020-03-02,0.99164486,0.99164486,0.99164486,0.99164486,0.99164486,0.99164486,0.99164486,0.99164486,0.99164486,0.99164486
91,2020-04-01,1.0360991,1.0360991,1.0360991,1.0360991,1.0360991,1.0360991,1.0360991,1.0360991,1.0360991,1.0360991
92,2020-05-06,1.0586452,1.0586452,1.0586452,1.0586452,1.0586452,1.0586452,1.0586452,1.0586452,1.0586452,1.0586452
93,2020-06-01,1.0211767,1.0211767,1.0211767,1.0211767,1.0211767,1.0211767,1.0211767,1.0211767,1.0211767,1.0211767
94,2020-07-01,1.011371,1.011371,1.011371,1.011371,1.011371,1.011371,1.011371,1.011371,1.011371,1.011371
95,2020-08-03,0.8979559,0.8979559,0.8979559,0.8979559,0.8979559,0.8979559,0.8979559,0.8979559,0.8979559,0.8979559
96,2020-09-01,0.9836184,0.9836184,0.9836184,0.9836184,0.9836184,0.9836184,0.9836184,0.9836184,0.9836184,0.9836184
97,2020-10-09,0.82818,0.82818,0.82818,0.82818,0.82818,0.82818,0.82818,0.82818,0.82818,0.82818
98,2020-11-02,1.0590866,1.0590866,1.0590866,1.0590866,1.0590866,1.0590866,1.0590866,1.0590866,1.0590866,1.0590866
99,2020-12-01,0.91153055,0.91153055,0.91153055,0.91153055,0.91153055,0.91153055,0.91153055,0.91153055,0.91153055,0.91153055
100,2018-12-03,0.99034655,0.99034655,0.99034655,0.99034655,0.99034655,0.99034655,0.99034655,0.99034655,0.99034655,0.99034655
101,2019-01-02,1.06055,1.06055,1.06055,1.06055,1.06055,1.06055,1.06055,1.06055,1.06055,1.06055
102,2019-02-01,0.94610006,0.94610006,0.94610006,0.94610006,0.94610006,0.94610006,0.94610006,0.94610006,0.94610006,0.94610006
103,2019-03-01,1.0063032,1.0063032,1.0063032,1.0063032,1.0063032,1.0063032,1.0063032,1.0063032,1.0063032,1.0063032
104,2019-04-01,0.79662097,0.79662097,0.79662097,0.79662097,0.79662097,0.79662097,0.79662097,0.79662097,0.79662097,0.79662097
105,2019-05-06,0.8482759,0.8482759,0.8482759,0.8482759,0.8482759,0.8482759,0.8482759,0.8482759,0.8482759,0.8482759
106,2019-06-03,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461,0.9732461
107,2019-07-01,0.8915426,0.8915426,0.8915426,0.8915426,0.8915426,0.8915426,0.8915426,0.8915426,0.8915426,0.8915426
108,2019-08-01,0.8986074,0.8986074,0.8986074,0.8986074,0.8986074,0.8986074,0.8986074,0.8986074,0.8986074,0.8986074
109,2019-09-02,0.92946166,0.92946166,0.92946166,0.92946166,0.92946166,0.92946166,0.92946166,0.92946166,0.92946166,0.92946166
110,2019-10-08,1.0370255,1.0370255,1.0370255,1.0370255,1.0370255,1.0370255,1.0370255,1.0370255,1.0370255,1.0370255
111,2019-11-01,0.91385335,0.91385335,0.91385335,0.91385335,0.91385335,0.91385335,0.91385335,0.91385335,0.91385335,0.91385335
112,2019-12-02,0.750955,0.750955,0.750955,0.750955,0.750955,0.750955,0.750955,0.750955,0.750955,0.750955
113,2020-01-02,1.0462567,1.0462567,1.0462567,1.0462567,1.0462567,1.0462567,1.0462567,1.0462567,1.0462567,1.0462567
114,2020-02-03,0.9908211,0.9908211,0.9908211,0.9908211,0.9908211,0.9908211,0.9908211,0.9908211,0.9908211,0.9908211
115,2020-03-02,0.9560387,0.9560387,0.9560387,0.9560387,0.9560387,0.9560387,0.9560387,0.9560387,0.9560387,0.9560387
116,2020-04-01,0.98468006,0.98468006,0.98468006,0.98468006,0.98468006,0.98468006,0.98468006,0.98468006,0.98468006,0.98468006
117,2020-05-06,0.9606107,0.9606107,0.9606107,0.9606107,0.9606107,0.9606107,0.9606107,0.9606107,0.9606107,0.9606107
118,2020-06-01,0.949806,0.949806,0.949806,0.949806,0.949806,0.949806,0.949806,0.949806,0.949806,0.949806
